Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cluster_label
1,0.23,4,5,1,61.5,55.0,326,3.95,3.98,2.43,2
2,0.21,3,5,2,59.8,61.0,326,3.89,3.84,2.31,2
3,0.23,1,5,4,56.9,65.0,327,4.05,4.07,2.31,2
4,0.29,3,1,3,62.4,58.0,334,4.2,4.23,2.63,2
5,0.31,1,0,1,63.3,58.0,335,4.34,4.35,2.75,2
6,0.24,2,0,5,62.8,57.0,336,3.94,3.96,2.48,2
7,0.24,2,1,6,62.3,57.0,336,3.95,3.98,2.47,2
8,0.26,2,2,2,61.9,55.0,337,4.07,4.11,2.53,2
9,0.22,0,5,3,65.1,61.0,337,3.87,3.78,2.49,2
10,0.23,2,2,4,59.4,61.0,338,4.0,4.05,2.39,2
11,0.3,1,0,2,64.0,55.0,339,4.25,4.28,2.73,2
12,0.23,4,0,4,62.8,56.0,340,3.93,3.9,2.46,2
13,0.22,3,4,2,60.4,61.0,342,3.88,3.84,2.33,2
14,0.31,4,0,1,62.2,54.0,344,4.35,4.37,2.71,2
15,0.2,3,5,1,60.2,62.0,345,3.79,3.75,2.27,2
16,0.32,3,5,0,60.9,58.0,345,4.38,4.42,2.68,2
17,0.3,4,1,1,62.0,54.0,348,4.31,4.34,2.68,2
18,0.3,1,0,2,63.4,54.0,351,4.23,4.29,2.7,2
19,0.3,1,0,2,63.8,56.0,351,4.23,4.26,2.71,2
20,0.3,2,0,2,62.7,59.0,351,4.21,4.27,2.66,2
21,0.3,1,1,1,63.3,56.0,351,4.26,4.3,2.71,2
22,0.23,2,5,3,63.8,55.0,352,3.85,3.92,2.48,2
23,0.23,2,2,4,61.0,57.0,353,3.94,3.96,2.41,2
24,0.31,2,0,2,59.4,62.0,353,4.39,4.43,2.62,2
25,0.31,2,0,2,58.1,62.0,353,4.44,4.47,2.59,2
26,0.23,2,3,5,60.4,58.0,354,3.97,4.01,2.41,2
27,0.24,3,1,4,62.5,57.0,355,3.97,3.94,2.47,2
28,0.3,2,0,3,62.2,57.0,357,4.28,4.3,2.67,2
29,0.23,2,6,3,60.5,61.0,357,3.96,3.97,2.4,2
30,0.23,2,4,4,60.9,57.0,357,3.96,3.99,2.42,2
31,0.23,2,4,4,60.0,57.0,402,4.0,4.03,2.41,2
32,0.23,2,4,4,59.8,57.0,402,4.04,4.06,2.42,2
33,0.23,2,5,4,60.7,59.0,402,3.97,4.01,2.42,2
34,0.23,2,5,4,59.5,58.0,402,4.01,4.06,2.4,2
35,0.23,2,6,4,61.9,58.0,402,3.92,3.96,2.44,2
36,0.23,1,4,4,58.2,59.0,402,4.06,4.08,2.37,2
37,0.23,1,5,4,64.1,59.0,402,3.83,3.85,2.46,2
38,0.31,1,2,2,64.0,54.0,402,4.29,4.31,2.75,2
39,0.26,2,6,3,60.8,59.0,403,4.13,4.16,2.52,2
40,0.33,4,1,1,61.8,55.0,403,4.49,4.51,2.78,2
41,0.33,4,1,1,61.2,56.0,403,4.49,4.5,2.75,2
42,0.33,4,0,2,61.1,56.0,403,4.49,4.55,2.76,2
43,0.26,1,6,3,65.2,56.0,403,3.99,4.02,2.61,2
44,0.26,1,6,4,58.4,63.0,403,4.19,4.24,2.46,2
45,0.32,1,2,1,63.1,56.0,403,4.34,4.37,2.75,2
46,0.29,3,4,2,62.4,58.0,403,4.24,4.26,2.65,2
47,0.32,2,2,1,61.8,55.0,403,4.35,4.42,2.71,2
48,0.32,1,2,1,63.8,56.0,403,4.36,4.38,2.79,2
49,0.25,2,5,3,63.3,60.0,404,4.0,4.03,2.54,2
50,0.29,2,2,1,60.7,60.0,404,4.33,4.37,2.64,2
51,0.24,2,4,2,60.9,61.0,404,4.02,4.03,2.45,2
52,0.23,4,3,4,61.9,54.0,404,3.93,3.95,2.44,2
53,0.32,4,1,2,60.9,55.0,404,4.45,4.48,2.72,2
54,0.22,3,5,3,61.6,58.0,404,3.93,3.89,2.41,2
