Area,Year,Value
Pakistan,1961,0.406
Pakistan,1962,-0.34
Pakistan,1963,1.051
Pakistan,1964,-2.747
Pakistan,1965,2.03
Pakistan,1966,1.82
Pakistan,1967,-1.288
Pakistan,1968,-0.82
Pakistan,1969,0.015
Pakistan,1970,0.549
Pakistan,1971,-0.826
Pakistan,1972,0.438
Pakistan,1973,-1.75
Pakistan,1974,-0.221
Pakistan,1975,-0.716
Pakistan,1976,0.856
Pakistan,1977,-0.618
Pakistan,1978,-0.465
Pakistan,1979,0.623
Pakistan,1980,0.258
Pakistan,1981,0.982
Pakistan,1982,0.524
Pakistan,1983,0.23
Pakistan,1984,-0.485
Pakistan,1985,0.352
Pakistan,1986,-0.72
Pakistan,1987,1.06
Pakistan,1988,1.551
Pakistan,1989,-0.667
Pakistan,1990,1.977
Pakistan,1991,0.205
Pakistan,1992,0.369
Pakistan,1993,-0.174
Pakistan,1994,0.893
Pakistan,1995,0.307
Pakistan,1996,-0.378
Pakistan,1997,-0.003
Pakistan,1998,0.593
Pakistan,1999,0.365
Pakistan,2000,0.91
Pakistan,2001,-0.178
Pakistan,2002,0.923
Pakistan,2003,1.226
Pakistan,2004,1.207
Pakistan,2005,-0.392
Pakistan,2006,0.158
Pakistan,2007,0.734
Pakistan,2008,-1.448
Pakistan,2009,1.501
Pakistan,2010,1.688
Pakistan,2011,0.315
Pakistan,2012,-0.21
Pakistan,2013,0.794
Pakistan,2014,0.218
Pakistan,2015,0.802
Pakistan,2016,2.181
Pakistan,2017,0.704
Pakistan,2018,1.892
Pakistan,2019,1.313
Pakistan,2020,-0.755
Pakistan,2021,-0.24
Pakistan,1961,-1.782
Pakistan,1962,1.086
Pakistan,1963,2.515
Pakistan,1964,-0.344
Pakistan,1965,0.151
Pakistan,1966,2.177
Pakistan,1967,1.602
Pakistan,1968,-2.272
Pakistan,1969,-0.844
Pakistan,1970,0.542
Pakistan,1971,0.232
Pakistan,1972,-4.437
Pakistan,1973,0.981
Pakistan,1974,-2.588
Pakistan,1975,-1.283
Pakistan,1976,-0.6
Pakistan,1977,0.382
Pakistan,1978,-0.5
Pakistan,1979,-0.345
Pakistan,1980,0.574
Pakistan,1981,0.924
Pakistan,1982,-1.747
Pakistan,1983,-0.911
Pakistan,1984,-2.491
Pakistan,1985,1.096
Pakistan,1986,-0.866
Pakistan,1987,0.904
Pakistan,1988,1.069
Pakistan,1989,-1.232
Pakistan,1990,-0.05
Pakistan,1991,-0.932
Pakistan,1992,-0.563
Pakistan,1993,2.025
Pakistan,1994,-0.365
Pakistan,1995,0.237
Pakistan,1996,0.835
Pakistan,1997,0.506
Pakistan,1998,-0.023
Pakistan,1999,1.291
Pakistan,2000,-0.755
Pakistan,2001,0.682
Pakistan,2002,-0.03
Pakistan,2003,1.067
Pakistan,2004,1.925
Pakistan,2005,-1.108
Pakistan,2006,4.503
Pakistan,2007,1.672
Pakistan,2008,-0.984
Pakistan,2009,2.336
Pakistan,2010,1.28
Pakistan,2011,0.687
Pakistan,2012,-1.563
Pakistan,2013,0.661
Pakistan,2014,-0.925
Pakistan,2015,1.823
Pakistan,2016,1.515
Pakistan,2017,1.216
Pakistan,2018,2.365
Pakistan,2019,-0.584
Pakistan,2020,1.656
Pakistan,2021,3.1
Pakistan,1961,0.511
Pakistan,1962,-0.031
Pakistan,1963,0.025
Pakistan,1964,1.603
Pakistan,1965,-0.503
Pakistan,1966,-0.458
Pakistan,1967,-0.951
Pakistan,1968,0.002
Pakistan,1969,2.684
Pakistan,1970,-0.972
Pakistan,1971,0.493
Pakistan,1972,-0.129
Pakistan,1973,-0.361
Pakistan,1974,1.524
Pakistan,1975,-1.384
Pakistan,1976,-1.796
Pakistan,1977,2.344
Pakistan,1978,-1.538
Pakistan,1979,-2.088
Pakistan,1980,-0.99
Pakistan,1981,0.018
Pakistan,1982,-2.373
Pakistan,1983,-1.982
Pakistan,1984,2.096
Pakistan,1985,1.751
Pakistan,1986,-1.325
Pakistan,1987,0.386
Pakistan,1988,-0.237
Pakistan,1989,-0.721
Pakistan,1990,-1.292
Pakistan,1991,-0.477
Pakistan,1992,-1.51
Pakistan,1993,-1.266
Pakistan,1994,1.671
Pakistan,1995,-1.537
Pakistan,1996,0.678
Pakistan,1997,-0.489
Pakistan,1998,-0.424
Pakistan,1999,0.325
Pakistan,2000,-0.168
Pakistan,2001,0.962
Pakistan,2002,1.195
Pakistan,2003,0.36
Pakistan,2004,3.273
Pakistan,2005,0.618
Pakistan,2006,1.734
Pakistan,2007,-0.396
Pakistan,2008,2.509
Pakistan,2009,1.75
Pakistan,2010,3.936
Pakistan,2011,1.545
Pakistan,2012,0.316
Pakistan,2013,1.465
Pakistan,2014,-0.582
Pakistan,2015,-0.533
Pakistan,2016,1.492
Pakistan,2017,1.235
Pakistan,2018,3.07
Pakistan,2019,-0.659
Pakistan,2020,-0.573
Pakistan,2021,2.905
Pakistan,1961,-1.57
Pakistan,1962,0.543
Pakistan,1963,-0.25
Pakistan,1964,0.644
Pakistan,1965,-3.069
Pakistan,1966,-1.315
Pakistan,1967,-1.339
Pakistan,1968,-0.101
Pakistan,1969,0.05
Pakistan,1970,1.456
Pakistan,1971,2.188
Pakistan,1972,-1.118
Pakistan,1973,1.202
Pakistan,1974,1.314
Pakistan,1975,-0.307
Pakistan,1976,-0.739
Pakistan,1977,0.689
Pakistan,1978,0.816
Pakistan,1979,0.921
Pakistan,1980,2.066
Pakistan,1981,1.434
Pakistan,1982,-0.412
Pakistan,1983,-2.449
Pakistan,1984,0.756
Pakistan,1985,0.296
Pakistan,1986,0.411
Pakistan,1987,0.294
Pakistan,1988,1.793
Pakistan,1989,-0.835
Pakistan,1990,0.039
Pakistan,1991,-0.827
Pakistan,1992,-1.601
Pakistan,1993,0.409
Pakistan,1994,-0.955
Pakistan,1995,-1.5
Pakistan,1996,0.437
Pakistan,1997,-1.424
Pakistan,1998,1.447
Pakistan,1999,1.747
Pakistan,2000,2.752
Pakistan,2001,1.17
Pakistan,2002,1.627
Pakistan,2003,1.468
Pakistan,2004,2.592
Pakistan,2005,-0.159
Pakistan,2006,-0.793
Pakistan,2007,2.967
Pakistan,2008,0.349
Pakistan,2009,0.351
Pakistan,2010,3.35
Pakistan,2011,0.528
Pakistan,2012,0.653
Pakistan,2013,0.141
Pakistan,2014,0.528
Pakistan,2015,1.502
Pakistan,2016,1.443
Pakistan,2017,2.549
Pakistan,2018,2.42
Pakistan,2019,1.685
Pakistan,2020,0.871
Pakistan,2021,1.416
Pakistan,1961,0.203
Pakistan,1962,0.027
Pakistan,1963,-1.218
Pakistan,1964,-0.012
Pakistan,1965,-1.322
Pakistan,1966,-0.188
Pakistan,1967,-0.993
Pakistan,1968,-1.814
Pakistan,1969,-0.781
Pakistan,1970,1.502
Pakistan,1971,0.912
Pakistan,1972,-0.198
Pakistan,1973,1.033
Pakistan,1974,0.26
Pakistan,1975,0.58
Pakistan,1976,0.41
Pakistan,1977,-0.065
Pakistan,1978,1.648
Pakistan,1979,-1.446
Pakistan,1980,1.42
Pakistan,1981,1.218
Pakistan,1982,-1.053
Pakistan,1983,0.18
Pakistan,1984,1.57
Pakistan,1985,0.782
Pakistan,1986,0.088
Pakistan,1987,-1.403
Pakistan,1988,2.171
Pakistan,1989,-0.268
Pakistan,1990,1.81
Pakistan,1991,-0.483
Pakistan,1992,-0.692
Pakistan,1993,1.33
Pakistan,1994,1.003
Pakistan,1995,0.595
Pakistan,1996,-0.703
Pakistan,1997,-1.49
Pakistan,1998,1.087
Pakistan,1999,1.011
Pakistan,2000,2.861
Pakistan,2001,2.649
Pakistan,2002,2.163
Pakistan,2003,-0.002
Pakistan,2004,1.244
Pakistan,2005,-0.66
Pakistan,2006,2.931
Pakistan,2007,1.202
Pakistan,2008,1.237
Pakistan,2009,1.826
Pakistan,2010,2.095
Pakistan,2011,2.283
Pakistan,2012,1.042
Pakistan,2013,0.993
Pakistan,2014,0.009
Pakistan,2015,1.299
Pakistan,2016,2.413
Pakistan,2017,2.241
Pakistan,2018,1.598
Pakistan,2019,0.135
Pakistan,2020,0.872
Pakistan,2021,0.889
Pakistan,1961,-0.346
Pakistan,1962,-0.399
Pakistan,1963,0.583
Pakistan,1964,-0.863
Pakistan,1965,-0.477
Pakistan,1966,-0.023
Pakistan,1967,-0.266
Pakistan,1968,0.181
Pakistan,1969,0.252
Pakistan,1970,0.393
Pakistan,1971,0.411
Pakistan,1972,0.245
Pakistan,1973,0.979
Pakistan,1974,-0.607
Pakistan,1975,-0.555
Pakistan,1976,-0.911
Pakistan,1977,-0.153
Pakistan,1978,0.634
Pakistan,1979,0.793
Pakistan,1980,0.431
Pakistan,1981,0.337
Pakistan,1982,-0.119
Pakistan,1983,-0.099
Pakistan,1984,0.745
Pakistan,1985,0.093
Pakistan,1986,0.237
Pakistan,1987,-0.404
Pakistan,1988,0.604
Pakistan,1989,-0.53
Pakistan,1990,0.526
Pakistan,1991,0.093
Pakistan,1992,0.524
Pakistan,1993,0.044
Pakistan,1994,0.625
Pakistan,1995,0.612
Pakistan,1996,-0.798
Pakistan,1997,-1.004
Pakistan,1998,-0.208
Pakistan,1999,-0.126
Pakistan,2000,-0.079
Pakistan,2001,-0.12
Pakistan,2002,0.608
Pakistan,2003,0.642
Pakistan,2004,-0.016
Pakistan,2005,0.419
Pakistan,2006,-0.383
Pakistan,2007,-0.314
Pakistan,2008,0.546
Pakistan,2009,-0.349
Pakistan,2010,-0.309
Pakistan,2011,0.906
Pakistan,2012,0.01
Pakistan,2013,0.484
Pakistan,2014,1.193
Pakistan,2015,-0.221
Pakistan,2016,0.926
Pakistan,2017,0.489
Pakistan,2018,0.908
Pakistan,2019,0.509
Pakistan,2020,0.498
Pakistan,2021,0.521
Pakistan,1961,0.212
Pakistan,1962,0.142
Pakistan,1963,0.841
Pakistan,1964,-0.357
Pakistan,1965,-0.08
Pakistan,1966,-0.22
Pakistan,1967,0.363
Pakistan,1968,0.29
Pakistan,1969,0.7
Pakistan,1970,0.244
Pakistan,1971,-0.328
Pakistan,1972,-0.158
Pakistan,1973,-0.075
Pakistan,1974,0.453
Pakistan,1975,-0.51
Pakistan,1976,-0.007
Pakistan,1977,0.047
Pakistan,1978,-1.54
Pakistan,1979,0.481
Pakistan,1980,0.095
Pakistan,1981,-0.162
Pakistan,1982,0.471
Pakistan,1983,0.101
Pakistan,1984,-0.651
Pakistan,1985,-0.383
Pakistan,1986,-0.609
Pakistan,1987,0.295
Pakistan,1988,0.153
Pakistan,1989,-0.573
Pakistan,1990,0.126
Pakistan,1991,0.55
Pakistan,1992,-0.363
Pakistan,1993,-0.149
Pakistan,1994,-0.599
Pakistan,1995,-0.278
Pakistan,1996,-0.194
Pakistan,1997,0.794
Pakistan,1998,0.456
Pakistan,1999,0.362
Pakistan,2000,-0.183
Pakistan,2001,-0.177
Pakistan,2002,0.472
Pakistan,2003,-0.172
Pakistan,2004,0.34
Pakistan,2005,0.125
Pakistan,2006,0.861
Pakistan,2007,0.246
Pakistan,2008,0.433
Pakistan,2009,0.765
Pakistan,2010,0.33
Pakistan,2011,0.266
Pakistan,2012,0.878
Pakistan,2013,0.712
Pakistan,2014,0.953
Pakistan,2015,-0.028
Pakistan,2016,0.747
Pakistan,2017,0.263
Pakistan,2018,0.856
Pakistan,2019,1.08
